"id","reviewtext"
"49","used months phone decided quit mounting lost pictures pets died shortly got replacement card send old one giving chance recovering contents new one worked fine failing 3 months inexcusable"
"50","memory card either works doesn always going one star five star review no middle ground adapter nice bonus though think anything use"
"51","purchased card use contourroam2 works great put card camera format good go allows easily record hours 720p 60fps video without running space slowing"
"52","upgraded 32gb 64gb card galaxy note phone looks like works fine full capacity good product"
"53","everything great except adapter tight use tool take back adapter causing chip fault guess also bought 16gb version adapter one fine"
"54","liked first one purchased much bought second one fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone buy decent usb card reader load voila instant super speedy upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive know even used old plastic usb 2 0 card reader held together scotch tape lol purchased several microsd cards since first came 2gb 32gb still work fine cannot say re thumb drives purchased time period one point beware counterfeits samsung number one brand unfortunately get counterfeited lot check reviews buy reliable seller suggest buying direct amazon memory mogul purchased no issues"
"55","really say anything bad says super fast great storage size lots movies"
"56","used phone plenty fast works like unexpectedly comes mini full sd card size adapters nice 34 fool proof 34 packaging whatever laughable packaging decent shouldn bragged impossible mess messed"
"57","standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe"
"58","ordered new samsung galaxy note ii works awesome installed no problems loaded music didn even scratch surface capacity card shouldn ever worry running outta room card highly recommended smartphone user"
"59","great deal much faster file movement definitely worth purchase sandisk proved good products"
"60","ll pay 10 anywhere else initially leery buying another sd card amazon 4 years ago card fake said 32 gigs plugged computer could load 11 onto would say 34 full 34 apparently way fool computer thinking space fake counterfeit cards one real deal genuine sandisk contains many gb says m pleased customer"
"61","use samsung galaxy s4 almost year no problems really expands memory capabilities easy enough install"
"62","32gb storage new asus tablet love imagine paying model upgraded storage especially since usually like 100 thing cheap works great"
"63","excellent quality excellent speed no complaints easy use reliable red stripe front makes easy find crowded desk"
"64","card advertises uhs1 actually uhs50 means go sdr104 speeds throughput necessary bad false advertising"
"65","purchase hp tablet memory music download pictures video enough room store memory left"
"66","anything wrong sandisk product items read sooooo quickly quite happy"
"67","lot people want big memory fine need look speed class one class 10 great taking pictures video freeze move mb fast enough lesser speed cards freeze say waiting camera miss moment also sandisk name trust come memory cards"
"68","fast transfer rates downloaded 2gb videos form card laptop card reader minute"
"69","something said sandisk plug works ve never one doa memory issues throughout years camera storage products installed galaxy siii recognized right away able dump music onto speed seems great well no complaints"
"70","praise extra memory fills mp3 player every song heart desires sound quality perfect ease use superb great"
"71","though states 16gig 14 8gig available know happens expected keep mind wanting storage might want order 32gig card exactly expected needed no complaints"
"72","job advertised need extra memory phone tablet whatever device bext buy price quality"
"73","needed cell phone works perfectly sandisk never disappointment 30 plus years ve computer work"
"74","priced right memory card also reads writes fast noticeable difference cheaper cards put phone plan buy another one tablet"
"75","works great sprint htc evo 4g lte formatted w fat32 course maximum file size 4gb meaning no full length hidef movies however isn problem bought card putting music library phone like class 10 micro sdhc cards 10mb closer class 10 card ve ever tried 3 4mb kingston 32gb 7mb card 8 9mb wait till 128gb 256gb cards become available affordable"
"76","update 6 24 14 128 gb card stopped allowing writes via card readers windows pc either inside several full size sd card adapters write protect tab either position plugged directly microsd slot reader microsd cards no write protect tab quite surprised worried failing find workable solution searching online finally put chromebook created new folder stuck back windows pc no longer gave write protect error anyone similar problem d recommend something similar putting pc laptop camera etc available try writing portion review necessarily written update original review 64 gb version card since amazon disallows multiple reviews consider item portion concerns 128 gb version card need fast card speeds card important besides test pc exactly high end therefore didn count speed results got using usb 2 0 card adapter thought might relevant readers card reach class 10 uhs requirements came 2 3 claimed read speeds 30 mb fast file transfer running second pc using different usb 2 0 card reader none speeds even hit 5 mb seems highly system dependent got card week far works select sdxc compatible devices exfat compatible operating systems sdxc compatible devices panasonic hdc tm40 allow cards larger 64 gb whatever reason stated manual ve confirmed card recognized broken corrupt unusable device whereas 64 gb exfat cards work fine 128 gb works fine original exfat formatting toshiba excite 7 7 android tablet predictably non sdxc compatible galaxy note 2 though possibly would reformatted fat32 since 64 gb card fat32 works fine ll update review reflect problems issues etc notice coming days weeks crystaldiskmark 3 0 3 c 2007 2013 hiyohiyocrystal dew world url removed per amazon rules mb 1 000 000 byte sata 300 300 000 000 byte sequential read 18 694 mb ssequential write 11 921 mb srandom read 512kb 18 502 mb srandom write 512kb 0 680 mb srandom read 4kb qd 1 3 339 mb 815 1 iops random write 4kb qd 1 1 581 mb 386 1 iops random read 4kb qd 32 3 151 mb 769 4 iops random write 4kb qd 32 1 564 mb 381 8 iops test 1000 mb g 0 0 0 0 119 1 gb x5 date 2014 04 24 16 53 49os windows xp professional sp3 5 1 build 2600 x86 following original review 64 gb version card published april 24 2013 high quality card ve used variety devices multiple readers different pcs hd camcorder using micro full sized sd adapter ve never problem even works full capacity microsdhc devices reformatted fat32 sandisk clip flac player supposedly even psps via proper adapter though haven yet tested psp keep anticipating someone coming card equal better capacity speeds comparable price haven seen one yet cheaper d several make sure device handle micro full sized sdxc cards one rare gems state support high sdhc tested work sdxc cards one ve manually reformatted fat32"
"77","works great phone wife loves got second mom storing lots pictures videos"
"78","loaded card home movies samsung galaxy tab 2 copy process computer card fast no skips movie quality plenty room left go wish bought another collections"
"79","bought s3 loaded 4 seasons futurama 5 full length hd movies several documentaries dozen 30 minute comedy shows plenty room left pictures etc slight nitpick booting recovery mode s3 recognize card wanted update phone latest version android would see resort 2gb microsd laying around wasn sd card issue thought would throw"
"80","purchased wife bought samsung galaxy s4 store music pictures videos s4 camera capable capturing 16 megapixels photos 16gb microsd suffice matter fact ve already exhausted remaining space card 64gb allow take photos son"
"81","great storage failed yet year usage"
"82","since wife using causing problems must functioning normally looks good far"
"83","class 10 speeds way fly 29 71gb usable space think good"
"84","subject says supposed great price sale buy"
"85","lot questions memory card fitting samsung galaxy tab 3 10 1 tablet fits works no problem thing installing instead showing 64gb available shows 59gb tried formatting card results no idea limit set galaxy tab 3 tablet 34 normal 34 buy 64gb get less surely problem coming sandisk memory card rating 5 star excellent price works great quick delivery"
"86","comes kind flash storage sandisk always go brand sell quality items stand problem usual no complaints works descried haven issues read write speeds right specs say"
"87","high speed high capacity storage great durability use phone digital camera work good"
"88","memory helps keep want keep cell phone good brand right price"
"89","bought sd card android phone thinking class 10 faster reliable others turns difference class doesn really matter least android phones didn really worth price difference"
"90","sandisk 32gb micro sd class 10 reliable sd card amazing transfer speeds no noticeable lag transfering even largest raw images hadn problem"
"91","good card work describes haven issue going pass metal detectors no lost files missing files"
"92","bought store music phone works flawlessly three months far no problems card reader average 6 8 megabytes read write"
"93","m amazed ordered amazon tuesday morning arrived wednesday mail impressive service amazon already reported card formats 59 gb performs perfectly samsung galaxy iii also new using two card readers fast pc transferred everything old 16gb card new 64 gb card less time took walk kitchen get cup coffee think class 10 rating correct card experience card phone ll benchmark card ll also benchmark operations internally backing android phone card ll update review accurate numerical data mean time first look person said 3 problems anything faster class 6 may correct full backup phone card significantly faster backup old 16gb class 6 card no benchmarks yet ll include right m happy card m really impressed card unbelievably quick service amazon m atlanta shipments like one often take full 3 days arrive"
"94","excellent one best go wrong card class 10 necessary shows noticeable significant improvements class 4"
"95","bought 64gb microsd card best buy needed one microsoft surface pro provides space need people need lot space videos quick books picture editing games etc card one need much space consider buying one cheaper little less memory note aware microsdxc format card new computers support format many older computers includes tablets smartphones buying make sure computer tablet smartphone compatible work period others claim card doesn work no matter try chances machine cannot support microsdxc format"
"96","got couldn pass deal 17 99 incredibly fast htc sensation 4g pictures taken saved instantaneously days happy shipping fast packaging easy open always great book issue format computer first phone able recognize"
"97","get lot storage small price micro sd adapter class 10 fast happy purchase hope review helpful"
"98","ultra micro sdhc fine got working neither packaging sansa clip player inform user player needs totally microcard inserted unit read card otherwise love storage even 16 gb let alone 32 tremendous"
"99","upgraded price dropped originally 16gig sandisk card mytouch 4g found toward mytouch 4g end life space running low got galaxy s3 bought card works flawlessly highly recommend errors ever super fast transfer rate"
"100","item priced right fit right cell phone without issues suppose know else could say class 10 suppose plenty fast cell phone use sure speeds camera use degree worked well shipping fast"
"101","got memory card samsung galaxy s3 running room sandisk 32gb class 4 micro sd card also wanted faster durable card hopping put lots media addition nandroid backups custom roms later found since card formatted ex fat would work make nandroid backups flash custom roms custom recovery custom roms dont work ex fat choice format card fat 32 meant couldn put files larger 4gb besides card great reasonable price 50 one doesn root phone put custom roms nandroid backups put files larger 4gb affect memory card fast provides storage put mobile device time card also water proof shock proof comes lifetime warranty ive never issues sandisk memory cards usb flash drives last really long time"
"102","using included adaptor macbook pro transfer files impressed speed card"
"103","got store movies music samsung note iii much say memory card except works expected"
"104","purchased version expand memory 16gb android tablet nothing fancy job no problems played back flawlessly files transferred many different microsd cards see sale might want consider instead cheaper no name brand"
"105","ve ordered sd cards one best overall shipping excellent fast reliable would recommend anyone looking quality product thanks"
"106","use phone works totally worth money great place store pictures music phones instead using phone memory still run fast"
"107","bought two one asus infinity one samsung galaxy s3 international version worked fine asus didn work phone formatted card using phone tablet laptop didn work tests apps using apps nothing showed working way got work formatting canon slr camera"
"108","works actual r w speeds 18 8 mb even class 10 marketed sandisk basic sandisk ultra unless mean ultra slow 2014 no excuse slow card sandisk update redone test notepro 12 2 instead using non uhs pc latest results 32 8 6mb since read speed hits 30 believe device dhs ready still underwhelmed write speed though"
"109","sandisk ultra 32 gb microsdhc c10 uhs1 memory card adapter sandisk ultra 32 gb microsdhc c10 uhs1 memory card adapter works fine"
"110","great adding ton storage smartphone device fast enough needs price right"
"111","possibly go wrong san disc product although purchased son used san disc past never disappointed"
"112","job fairly cheap worth return first one exchange another first one defective sandisk really needs better quality assurance products second one works perfectly fine use gopro camera"
"113","bought son tablet cartoon videos movies 34 34 games downloading 5 yrs ll small simple games"
"114","bought friend mine put videos initially plugged computer couldn find storage directory however finding micro sd usb adapter bingo worked like charm install videos plugged card phone races sure needed adapter couldn get computer recognize also used linux o go figure"
"115","sandisk ultra 64gb micro card great addition maximize samsung galaxy iiis whatever version got 16gb 32gb fast memory great price plenty space pictures videos android applications good 1080 videos galaxy iiis use super fast got advanced smartphone market memory get right price"
"116","installed samsung tablet tab 2 7 0 definitely performance difference tablet especially load apps"
"117","memory works samsung smartphones fast memorysandisk reliable memories market"
"118","love good quality good performance great brand could find better product money using samsung galaxy s4 mini zero complications"
"119","product arrived two days prime exactly ordered works great galaxy s3 know class 10 exactly needed cell phone cannot hurt right m happy purchase"
"120","expanded samsung tab 10 1 tablet 1gb 32gb works fast see lags store ten movies tab play right flash disc no problems happy card"
"121","update providing update regard sandisk support bought memory card aug 2012 see original review may 2013 cruise alaska card went bad sailing san francisco fine used take panorama shot golden gate bridge cruise using dslr next time wanted use cell phone phone told no memory card loaded way tested card laptop got back couldn recognize contacted sandisk via email provide copy receipt amazon along serial number back card hard read no problems told send back card sent brand new card still functioning cell phone great support provide sandisk no hassle long provide proof purchase easy since amazon keeps entire purchase history invoices online one reason buy directly amazon vs vendors either amazon elsewhere internet confidence memory cards sold amazon genuine may incredible deals elsewhere internet cases deals good true counterfeit cards sold original review received today removed packaging inserted samsung galaxy s3 verizon powered unit back storage available no formatting required worked first time settings showed 29 71gb total space 32gb version 29 71gb free space like fact sd adapter came ever need insert card laptop come handy yes plug phone directly laptop ever swap 32gb card phone replace 64gb version use 32gb version via adapter purposes"
"122","still feel fast phone guess need remove run r w tests still ok"
"123","bought 64gb version card use gopro hero 3 black edition didn work card worked ok camera set resolution lower bit rates e g worked fine 720p protune 1080p protune however 1080p protune bitrate shy 6 mb mode much higher protune turned nothing trouble camera would sometime work sometime randomly stop recording no obvious reason first suspected camera testing different sd cards ended sandisk card fault spare card old cheap 16gb pny also class 10 worked fine conditions camera settings obvious problem card found people gopro forums trouble specific card well well always find figure right anyhow speed tests card simple write 1gb file full zeros using unix dd utility copy 1gb zeros dev zero else would find many zeros onto file card result average sandisk card would manage 10 2 mb barely bar class 10 card however average 1gb write test speed oscillating many spikes drops drops low 7mb uh thought write speed class 10 card never dip 10 mb comparison old cheap class 10 pny card chugging along constant 13 mb test no spikes no drops speed card probably work fine devices bitrates recording 1080p video often low enough camera might huge buffer want use record video high bitrates device doesn huge buffer compensate speed bumps card may run trouble wary using hero3 modes higher bit rates e g 1080p protune enabled sandisk website lists part numbers sdsdqui 064g adapter sdsdqua 064g without adapter conflicts product description amazon likely amazon getting product description right bit common thing interesting note update apr 20 2013 numbers testing card test extremely simple write 1gb zeros onto card using standard unix dd command read 128kb blocks zeroes special device dev zero write onto card 128kb 8192 1gb dd displays transfer stats finishes dd running run iostat second terminal displaying 1 second interval stats measure current speed done mac dd command line used repeat test linux system however iostat command different linux would need modified slightly choose 128kb block size seems device drivers merges sequential writes anyhow using different block sizes results comparable dd dev zero test bs 131072 count 81928192 0 records in8192 0 records out1073741824 bytes transferred 101 578307 secs 10570582 bytes sec 10 mb good right wrong iostat running parallel dd command recorded iostat d w 1 disk2disk2kb tps mb s123 11 76 9 12116 61 185 21 04122 94 49 5 88128 00 41 5 12128 00 89 11 11128 00 134 16 73128 00 69 8 61128 00 61 7 62128 00 99 12 36 dd finishes writing 1gb zeros card imo last column never dip 10mb card labeled class 10 comparison test run samsung pro 64gb micro sd card dd dev zero test bs 131072 count 81928192 0 records in8192 0 records out1073741824 bytes transferred 52 869111 secs 20309436 bytes sec iostat d w 1 disk2disk2kb tps mb s125 30 138 16 86117 73 157 18 03123 04 150 18 00128 00 159 19 86128 00 156 19 47126 45 160 19 73128 00 150 18 72128 00 154 19 22128 00 153 19 11 dd finishes writing 1gb zeros card samsung average 2x faster importantly speed much constant critically important never dips 10mb"
"124","else say sandisk ultra 64 gb micro sd xc perfect sandisk cards"
"125",""
"126","husband bought gopro used record vacation mexico still half space left"
"127","item ve using months records hd videos gopro hero3 without problems"
"128","third purchase 4 ve working fine far installed smart phone cameras even used portable storage device noticed issues good product"
"129","love little guy super fast lot space storage plug enjoy"
"130","bought gopro hero3 camera silver edition working without problems fast pleasantly surprised good quality memory card adapter turn laptop directly"
"131","great addition smart phone huge capacity store data also pretty fast record video no lag recording"
"132","micro sd card well made great read write speeds added gray amount memory samsung galaxy s4 really recommend"
"133","bought item use gopro hero 3 sell gopro website lot cheaper amazon yet problems card"
"134","works perfectly fair price immediately recognized device use good purchase"
"135","needs little no formatting yet see sandisk fail cut corners almost every brand sd cards fail except tried numerous brands devices remember takes bit devices buffer information sd card static corrupt sd card usually easily fixed formatting always back documents pc mac soon possible oh create playlists slideshows etc devices remove sd card device smart enough re compile put sd card back end blank playlists even though songs watch lastly sd card doesn work whatever reason google sd card formatting help 64gb versions seem formatting issues like 32gb ones even formatting fat32 fixes"
"136","sandisk company trust offering good product low price comes adapter small case get full sd card size keep getting lost use"
"137","appears class 10 holds much says came sd card adapter even gave option forgo ridiculous plastic packages know hate ones scissors refuse cut end hurting times getting open completely advertised"
"138","bought card gopro hero3 worked fine people said problems cards new gopros no problems micro card works anything also takes standard cards due included adapter"
"139","always good experiences sandisk products priced well installed wife cell phone immediately recognized quite sure features chip supposed amount memory good deal extra features"
"140","comes nice little adapter microsdhc use normal size sd card also pretty neat considering price 24 32gb pretty reasonable class 10 fast hd 1080p video recording dslr camera bought use gopro 3 taking picture videos working great didn give anycorrupted files videos pictures yet working pretty good san disk pretty reliable brand won able go wrong"
"141","great value plenty storage phone tablet looked around really good deal"
"142","shipped fast worked really well use case take lot photos loads fast"
"143","old sandisk sd card still works thought new cards would reliable wrong microsd card failed yesterday inside phone used adapter connect computer wouldn mount bought directly amazon third party vendor know genuine sandisk"
"144","best price anywhere"
"145","bought memory card samsung note 10 1 amis really happy recommending product pleased"
"146","shipping fast product great quality great pricing like manufacture going order devices lots space"
"147","far good bought samsung micro sd card bestbuy somehow erasedeverything second one hopefully keeps stuff"
"148","still 26 gb left came hard case fore protection"
"149","m using sd card samsung galaxy s3 instead another one bought manufacture sandisk 32 gb mobile microsdhc flash memory card sdsdq 032g affp http www amazon com gp product b007kfxide ref oh details o04 s00 i02 ie utf8 psc 1 working perfectly since october 2012"
"150","used galaxy note 2 past 16 months sudden no longer writable tried many ways reformat card even windows says format successful files remain remove re insert card since private files card m able delete want sent back sandisk replacement"
"151","usual sandisk quality worked expected delivered time no problems worked great android samsung tablet"
"152","put lumix camera works fast great no complaints never issues highly recommended brand always comes"
"153","great product enough capacity delivers performance happy product samsung galaxy s4 phone"
"154","got beat price sandisk far always reliable two 32gb uhs 1 cards older 16gb 8gb class 4 class 6 etc sandisk microsds including standard sds usb thumb drives stood tests one card think failing still able recover data write anymore m pretty hard rewritable media say"
"155","great memory card using along roku3 works great fast transfer rate good capacity reasonable price else could ask"
"156","cannot go wrong sandisk date works advertised price wasn great cost savings came amazon great reputation date far concerned purchased"
"157","awesome card glad able use dslr"
"158","great storage size first adopter came thought sale price 119 excellent got duped price since first introduced great action cam battery ran ran memory"
"159","no problem storage speed difficulties insert card kingston reader http www amazon com kingston flash memory reader fcr hs219 dp b00109y2dq ref sr 1 1 ie utf8 qid 1356544341 sr 8 1 keywords card reader believ due sticker covering something one sides microsd kind problem reader"
"160","replaced one crapped tablet taking apps hours time"
"161","bought gift hubby seems quite well happy hasn given issues certainly uses lot information media smartphone since techie lol"
"162","exactly needed galaxy s5 word warning kitkat prevents apps editing changing deleting anything sd card stock apps come phone downloaded ones able trick pics movies whatever copy phones internal storage delete fix come non root work around operating system"
"163","worked great galaxy s4 didn work unknown reason used 4 months crapped back data things though"
"164","use cameras traveling 32 gb take bunch accessories also use cell phones"
"165","enough storage dslr really low price class 10 card u use several make linux based ssd"
"166","handy 64gb good size even though many devices claim support 32 gb card many actually support 64g card like sandisk brand always trust saying dont lemon happened everything"
"167","bought raspberry pi large enough run full lamp server price speed good bargain"
"168","good thanks sandisk must gopro cam get benefit cam yap"
"169","use raspberry pi sd adapter works far also appeared genuine part although prolific sandisk counterfeiters gotten really sneaky recent years like getting microsdhc cards adapted different device sizes example let say buy used phone e reader needs memory card m using pi take pi card take adapter put device rather pay money wait week delivery new one"
"170","popped moved apps card works great video handled quickly apps start fast"
"171","great buy work fine use everyday cell phone adapter great moving files computer cell phone buy opportunity presents"
"172","oh waited works s3 samsung galaxyworks note 3 samsungexcellent transfer rates close rated speeds 25mbs achieved using make music collection truly portable nice carry 2 devices anymore hope review helps"
"173","micro sd card perfect smartphone user looking expand storage device personally using one samsung galaxy note 3 works like charm adequately fast cheap fairly reliable looking extremely fast speeds however consider sandisk extreme series fastest microsd cards world card came adapter card plugs becomes full sized sd card looking use camera device uses sd cards please look elsewhere cards nearly fast full sized sd cards used cameras adapter used transporting data phone device computer great buy smartphone user looking higher storage capacity price fluctuates often catch em cheep got mine around 30"
"174","bought august 2013 april 2014 card stopped functioning still read writing capability gone less one year m extremely disappointed longevity card usage galaxy s4 40gb data guess m going look another card longer lifespan one"
"175","would get anything less 64gb instantaneous movies video music pictures android phone capable accepting micro sd cards go ahead get one two"
"176","originally bought brand card new gs4 price seemed good day took lot pictures mysteriously vanished since ve good experiences sandisk past immediately found card happy sale time bought ve absolutely no problems expect continue working long time knock wood bottom linethis quality product buy cards without respectable brand name"
"177","routinely use sdxc cards 128gb card unreadable arrival pcs said needed formatted last resort let one try windows 7 i7with date sdxc drivers could format way back amazon m glad returns easy"
"178","always good else say"
"179","works expected based price performance may best breed product found sandisk brand dependable"
"180","memory card fast class10 card sandisk units rarely lose data wish guys would keep marketing backside leaving white space top could write things cheapo brands big guys idiots"
"181","product large disappointment bought use tablet card forever getting corrupted ve reformatted card times point even reformat doesn work wasted money recommend purchasing"
"182","first card ordered bad tablet computer wouldn write wouldn read amazon replaced immediately new card perfect reads writes fast much faster hc phone m glad got hc 1 tablet"
"183","purchased could get work discovered sandisk app stressing working android device no worries go get app work"
"184","usual anything san dish quality product bought use surface pro works described fast connection"
"185","purchased 2 happy good transfer rates found last sd card caused camera phone delay taking shots one allows phone take pic quickly"
"186","bought wife samsung tl240 kept locking lesser speed sd card throwing card camera rarely locks taking pictures back back shooting 10 mp taking pictures back back shooting hd vid good idea upgrade class 10 card"
"187","samsung galaxy note 2 came 8 gigs internal memory discovered apps written internal 8 gigs memory didn want fill internal memory pictures videos music etc purchased 64 gb san disk ultra microsdxc class 10 card found video youtube learn insert card since could find nothing phone user guide real easy turn note phone remove note back plate see plaque saying sd card upper left quadrant phone simply place microsd card face metallic pins facing towards right depressed slot area left sd card plaque slowly gently slide microsd card plaque clicks isn correctly tend move back plaque force replace back plate phone turn phone go settings storage bottom page see sd card microsd card inserted correctly see additional gbs storage displayed also see reformat sd card remove sd card use settings erase data microsd card remove phone try remove microsd card phone without first activating remove sd card setting damage card phone card came quickly san disk reliable brand great class 10 rating"
"188","64gb delivered fast installed quick works like reasonable price wish could get memory note 3 much media"
"189","absolutely great product recommend great price used note 10 1 note 2 phone download lot music movies must"
"190","fast memory card room spare amazing price suitable lots smart phone movies fastest storage available today imho"
"191","arrived quickly perfect condition works well camera using standard size adapter readable note 8 seems quick enough canon g12 would recommend"
"192","big card lot faster card came phone allows switch video take pics faster going get cloud storage program think getting couple big cards instead makes downloading accessing chunks data lot easier"
"193","bought memory smartphone far supposed remember save"
"194","bought one gs3 phone bought wife got one seem work seamlessly perhaps kill us cheaper per gig smaller gig chips"
"195","bought samsung note 2014 ed give plenty data storage using note quick picture editing"
"196","bought new samsung galaxy s4 worked right away no troubles time tell"
"197","bought memory card spare samsung tab 2 10 1 works great allows bring extra movies songs audiobooks play tablet travel vacations"
"198","bought add storage sansa fuze mp3 player card formatted correctly works quite smoothly device also tried using adapter kodak digital camera recognized instantly pictures saved quickly allowing camera shoot without undue delay"
"199","bought use 8 inch onda tablet no problems issues installing using three months would recommend others"
"200","go wrong class 10 card cheap works great may buy another one spare"
"201","fast reliable plenty size money ran sandisk memory zone reading 22 29 mbps quite 30 supposedly rated lot apps installed running device"
"202","good memory card gift given junior partner receiving beautiful beautiful packaging received big surprise know evaluate"
"203","good value money class ten rated card fast speed good manufacturer"
"204","got note 10 1 great able pop computer via adapter load large amounts pictures back tablet kinda wishing got larger capacity one"
